slug,km,description
kids-run,0,Kids categories (ages 3–13); distances not expressed in km on the source site
5km,50,
6km,60,
7km,70,
10km,100,
12km,120,
14km,140,
15km,150,
18km,180,
21-1km,211,
25km,250,
28km,280,
30km,300,
42-2km,422,
