sortKey,city,state,country,name,typeSlug,distanceSlugs,providerSlug,detailUrl
2026-06-14T03:00,São Luís,MA,Brasil,Circuito das Estações 2026 - Inverno - São Luís,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-s-o-luis
2026-06-14T12:00,São Paulo,SP,Brasil,2ª São Paulo Classic Run,road,,yescom,https://www.yescom.com.br/classicrun/2026/index.asp
2026-06-21T03:00,Palmas,TO,Brasil,Circuito das Estações 2026 - Inverno - Palmas,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-palmas
2026-06-21T03:00,São Paulo,SP,Brasil,Desafio Energia Petrobras - Bike - São Paulo 2026,road,10km,running-land,https://www.runningland.com.br/eventos/desafio-energia-petrobras-bike-sao-paulo-2026
2026-06-21T05:45,São Paulo,SP,Brasil,Mizuno Athenas Run Stronger 2026,road,6km;12km;18km;25km,iguana-sports,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/athenas-run-stronger-2026
2026-06-21T08:30,São Paulo,SP,Brasil,Athenas Kids Run Stronger 2026,road,kids-run,iguana-sports,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/athenas-kids-run-stronger-2026
2026-06-21T12:00,Rio de Janeiro,RJ,Brasil,2ª Hello Kitty and Friends Fun Run,road,,yescom,https://www.yescom.com.br/hellokittyfunrun/2026/rj/index.asp
2026-06-21T18:14,São José dos Campos,SP,Brasil,Circuito das Estações 2026 - Inverno - São José dos Campos,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-s-o-jose-dos-campos
2026-06-21T20:49,Fortaleza,CE,Brasil,Circuito das Estações 2026 - Inverno - Fortaleza,road,5km;10km;15km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-fortaleza
2026-06-21T20:50,Porto Alegre,RS,Brasil,Circuito das Estações 2026 - Inverno - Porto Alegre,road,5km;10km;15km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-porto-alegre
2026-06-28T03:00,Brasilia,DF,Brasil,Circuito das Estações 2026 - Inverno - Brasília,road,5km;10km;15km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-brasilia
2026-06-28T03:00,Ribeirão Preto,SP,Brasil,Circuito das Estações 2026 - Inverno - Ribeirão Preto,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-ribeir-o-preto
2026-06-28T03:00,Teresina,PI,Brasil,Circuito das Estações 2026 - Inverno - Teresina,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-teresina
2026-06-28T03:00,Vitória,ES,Brasil,Circuito das Estações 2026 - Inverno - Vitória,road,,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-vitoria
2026-06-28T12:00,Camboriú,SC,Brasil,20 Milhas do Jacaré,road,,corre-brasil,https://www.correbrasil.com.br/20milhasdojacare
2026-06-28T17:05,Salvador,BA,Brasil,Circuito Banco do Brasil 2026 -Salvador,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-banco-do-brasil-2026-salvador
2026-06-28T17:14,São Paulo,SP,Brasil,Circuito das Estações 2026 - Inverno - São Paulo,road,5km;10km;15km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-s-o-paulo
2026-07-05T03:00,Anápolis,GO,Brasil,Circuito das Estações 2026 - Inverno - Anápolis,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-anapolis
2026-07-05T11:26,Belém,PA,Brasil,Circuito das Estações 2026 - Inverno - Belém,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-belem
2026-07-05T14:12,Florianópolis,SC,Brasil,Circuito das Estações 2026 - Inverno - Florianópolis,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-inverno-florianopolis
